,dQdV20_peak_1,V20_peak_1,dQdV20_peak_2,V20_peak_2,dQdV20_peak_3,V20_peak_3,dQdV20_peak_4,V20_peak_4,dQdV3_peak_1,V3_peak_1,dQdV3_peak_2,V3_peak_2,dQdV3_peak_3,V3_peak_3,dQdV3_peak_4,V3_peak_4,dQdV2_peak_1,V2_peak_1,dQdV2_peak_2,V2_peak_2,dQdV2_peak_3,V2_peak_3,dQdV2_peak_4,V2_peak_4
4,9.209172889337538,3.468678299806182,11.100958204158326,3.6454345329036313,7.389297995415575,3.9175198963720046,19.05346952017533,4.088911544807751,6.644920739292377,3.4939289196389085,11.587184211951069,3.6623712909706194,6.807293437941045,3.929032028230288,13.00225334573806,4.129267906494189,9.069951175182897,3.523466095597415,11.228027077290886,3.679604782630044,6.524756406079098,3.93702019849103,,
5,8.737782267703198,3.4804553523749866,10.63767211227952,3.6467869962065245,7.13182021185712,3.9256921725550806,11.545778870334706,4.092627937945306,8.237620292710798,3.512300400153234,10.646329850751352,3.680692572508027,6.195696947029323,3.9520303406032036,,,11.875165306297909,3.5470176005207663,10.05451261355807,3.6986369972110227,5.777312626858145,3.954304571958038,,
6,8.63722202430568,3.48185139945326,10.954363351690546,3.646266971770296,7.195844951777896,3.9237002595411323,13.60954679387043,4.092182187602032,7.532977809352592,3.5130871363117486,10.972643902077294,3.6736738863272955,6.141075855057933,3.9452365759551777,7.2778453522306075,4.144095214230779,10.09490795381373,3.5441356802205353,10.415920123235672,3.6899894683720365,5.765882442347203,3.9477579778338465,,
7,9.146107725175543,3.4719717018813543,12.449411013690654,3.6334769990248525,7.179804984158477,3.919411949044357,17.957885147518546,4.0894678952504515,6.8759425474203315,3.4982102610340986,13.227924568581837,3.6624477735976857,6.665825096740055,3.932281639509034,10.104266885973857,4.122194208401903,9.215674795690251,3.533256260649868,12.676402115979252,3.682878432716938,6.290335262227077,3.943368701789503,,
8,9.148592624395482,3.4619866548785554,12.350696328428745,3.6406179948162016,7.310413255844982,3.9183962514378106,19.02336058569953,4.088955244507009,6.285478936538701,3.4902552633365085,12.880922663053612,3.6644703248821995,6.444729747315758,3.937251006615576,11.532125722763888,4.121760807294067,8.61290874438192,3.5277447460749314,12.419274688802881,3.6831766599922955,6.265147845081146,3.932989367213089,8.961892494871709,4.151684614575713
10,9.000701200844627,3.4607655946276124,12.425432437215049,3.637821076292062,7.369857085154698,3.9188946252763093,19.12128168046793,4.091551733711707,6.302093819719855,3.490764081265234,13.169436198527253,3.661810621476651,6.647920647491838,3.9355139915450152,11.10507824085031,4.11986448413323,8.23697458006865,3.527310753402215,12.787674065897798,3.6820362107819262,6.482421119016064,3.93694481634307,8.466866280281025,4.147255204665429
