,dQdV20_peak_1,V20_peak_1,dQdV20_peak_2,V20_peak_2,dQdV3_peak_1,V3_peak_1,dQdV3_peak_2,V3_peak_2,dQdV2_peak_1,V2_peak_1,dQdV2_peak_2,V2_peak_2
0,8.557311319821986,3.45919925435738,14.938382057158135,3.635606947653115,9.432554883664633,3.4901054407803693,14.836335228924831,3.651676758551708,11.34711453631237,3.5335353587573013,13.951469565871554,3.6720671900221187
3,8.665990507901922,3.4703923235738197,12.236087689324028,3.6377880270493557,8.275565330447382,3.4810861940188524,12.52123186080651,3.657066341320617,11.043976825302064,3.5172268444851853,11.757384545087676,3.6766943798569662
12,7.915869265081417,3.4669660507466378,12.802401850215732,3.6356137302154705,9.645992181956125,3.505795451241376,13.134149340456142,3.66297442503082,11.440874560219157,3.5530573311983944,12.590739970720243,3.6840260828451306
11,8.374018215006119,3.4575947925314057,14.169807943653598,3.6372239843102103,9.762495693886443,3.4876977716944557,13.72204485487645,3.654556561011641,12.006195191247702,3.5320212556949118,13.09776729473459,3.6737199258922972
9,7.100068010026525,3.4850710025013485,11.565144839321482,3.642549864284809,7.571898202256966,3.5028546145267945,11.09949008754083,3.6724954254740876,10.324268984745995,3.541886585043547,10.282443729489081,3.691508575328328
22,7.057189959770798,3.464580140022625,13.429116452643402,3.6415687821633633,8.794918325724264,3.496352550425637,12.8615446206042,3.6612968383352564,12.162460297510682,3.5409182385795,12.312382999507607,3.6806043447320644
15,5.925365858127734,3.4709437326074335,10.699276005166645,3.6402458220357867,6.464910282872542,3.549781094996604,9.716723672875037,3.669829864626178,8.932946214136372,3.6278259521550518,8.584194585833965,3.7038200912020685
